question,answer
Why do people from other countries think the USA’s healthcare system is so great?,"US healthcare is just great when compared with Mali.
"
What is Jagananna Chedodu scheme in Andhra Pradesh?,"Another freebie to keep his seat hot with no substance,as the vulpine smile.
"
What's the most creative way you've seen someone discipline their children?,"I’ve told this before: when the boys misbehaved, I would threaten to take them for their next meal to the raw vegan restaurant. This was a horrendous fate to contemplate, and secured compliance.
"
Did a landlord ever offer to lower your rent so that you wouldn't leave?,"Nothing like that has ever happened to me but I suppose it could. However, you say ""offer to lower your rent so you wouldn't leave"", which could mean two different things. Either you can't afford the rent and or landlord is trying not to have to evict you, or you've found another place to go that's cheaper and they're trying to keep you from moving. Those have pretty different implications. Which situation are you in?
"
What are some of the best blogging tools?,"Rank Math is the best tool. For SEO.I provide good SEO services. If you want you can take service from me. Visit Fiber to learn more about my services and receive them
[LINKED_TEXT: https://www.fiverr.com/s/GGx6Z7] [URL: https://www.fiverr.com/s/GGx6Z7]"
I forgot my Apple ID password how can I reset it?,"Jake
"
"If Parshuram is the incarnation of Vishnu, then why didn't Parshuram recognize Ram during the breaking of the Shiva bow event?","Lord parshuram is anger form of lord Vishnu not complete form
"
Is the Indian economy in a real crisis?,"Need not put extra effort on this subject. Our fundamentals are clear and moreover….the ride of the suppresed had series. We had been neglected or hurled as third world people. Now we will rusland there is no looking back.
 Just relax and watch the game. The dices are of nature this time and not humans.
"
What do hotels do with used soap?,"We have a contract with a recycling company that picks up our used soap, as well as used oil (from the kitchen), used lightbulbs etc., once a month. And they are actually paying us for it.
"
What are the most underrated cities in the U.S.?,"Portland, MaineAsheville, North CarolinaSavannah, GeorgiaAnn Arbor, MichiganSanta Fe, New MexicoMadison, WisconsinSt. Augustine, FloridaBurlington, VermontCharleston, South CarolinaTacoma, Washington
"
Which is a better band: Iron Maiden or Judas Priest?,"It is an opinion of personal preference.
"
"Sometimes when I'm on a WhatsApp call, the app suddenly says call on hold. Do you know why?","Yes, when you or the other person gets a phone call, the Phone system or any mobile phone gets a higher priority and the WhatsApp call goes on hold. Remember, phones are made to receive phone calls and “WhatsApp is basically trying to use the same mic and speakers. At any given point, the phone system would have full control of the resources
"
"Sometimes when I'm on a WhatsApp call, the app suddenly says call on hold. Do you know why?","This may be from the other end. Or maybe you need to update your application. Hope this helps 😊😊😊🌻🌷
"
What food is just impossible to eat in a civilized manner?,"A snack called muduki in India,and roasted pa
 And served in the snacks also difficult to eat in civilised manner. Muduki is made of gram flour (besan). It is fried in such a manner it creates sound while you bite. Especially when I bite in the evening my spouse gets annoyed and leaves the table with utter annoyance. In some parts it is also called chakri.
"
What is the new income tax slab of 2021-22?,"Income tax slab rate applicable for New Tax regime - FY 2020-21.
 Income Tax Slab
 New Regime [LINKED_TEXT: Income Tax Slab] [URL: https://www.efficientportfolio.co.uk/] Rates for FY 2020-21 (Applicable for All Individuals & HUF)
 Rs 0.0 - Rs 2.5 Lakhs …………NIL
 Rs 2.5 lakhs- Rs 3.00 Lakhs ………..5% (tax rebate u/s 87a is available)
 Rs. 3.00 lakhs - Rs 5.00 Lakhs
 Rs. 5.00 lakhs- Rs 7.5 Lakhs ………….10%
"
"How can I earn $1,000 monthly as a freelancer?","U.S Software Developers Jobs. Work Remotely. No Visa needed. Full time jobs. High salary. 100+ of the best US companies have hired Turing developers. Great Companies. Work Remotely. Interesting Projects. Higher Pay.
"
Isn't a 9th chord just the 2nd chord since there's only 7 in a scale?,"No!
 A 9 is a 9 because the 7 is present
 if no 7. Then we can call it 2
 But if 7 is present. Then 2 is 9 not 2
 4 is 11. And 6 is 13
 7 is the key. It’s absence or presence
 it has to do with the overtone series
 7 lifts us into 9. 11. 13
"
How much money can you make online?,"I have a good and informative blog post articles on daily base but no earn anyone visit my blog and help me for better, Please visit my blog
 www.digiesales.com
[LINKED_TEXT: Digiesales | Business - News- Technology - EntertainmentDigiesales is an online platform that provides information and articles related to News, Tech, Entertainment, and Lifestyle and more...https://digiesales.com/] [URL: https://digiesales.com/]Help me How can I earn on this blog
"
Which is the best position to sit in for studying?,"sit and study according to me because you won't sleep or if you sleep it will not last for long .. =D . thanks a2a!
"
"Do you anticipate finding extraterrestrial life? If so, when and where?","I hope for it, but I do not expect it within the next 20 years. Mars is our best hope, and that’s remote because many billions of years have passed since Mars went cold, dry, and vacuum-like. We would have to look in the right place too.
"
"When is noon: 12:00-12:01, 12:00-1:00, or the exact second of when the clock strikes 12:00?","Noon is the midpoint of the say which occurs at 12:00.
 Noon hour is from 1200 to 1:00.
"
Is Elon Musk's plan to build a colony and human society on Mars even in the next 20 years a complete wishful thinking and impossible keeping in mind ground reality of Mars?,"if we humans keep going at the pace we are, we will be in the stone age by the end of this decade
"
A 500 ft. train travelling 500 ft per minute must travel through a 500 ft long tunnel. How long will it take the train to travel through the tunnel?,"To cross the tunnel the train has to pass from A to B
 [math]=500+500=1000 ft[/math]
 Time to be taken = distance / speed
 [math]=  1000/500= 2 \ minutes[/math]
"
How do I see who liked something on Twitter?,"Notifications or you can press on the likes to see a lust of those who liked.
"
Who represents the GOP in 2021?,"Trump, like it or no.
"
Why don't elite soldiers and Navy SEALs have physiques like Dwayne Johnson or Vin Diesel?,"Because just a”showroom physique” doesn’t make you a better soldier.In the French military, including the Foreign Legion, they stick with the principle of “le chat maigre”, the “lean cat”
This is a sign that hangs in the French Commando school…. ;-)
"
"Without looking at a map, how well can you draw the shape of your country?","I'm really into geography but my right hand is as dexterous as a toddlers is when it comes to drawing.
"
Do soldiers pick up fallen enemy weapons to use if they are out of ammo on their weapons?,"Another war story.Supposely an army infantry soldier found one after A firefight with some Viet Cong.He Supposely
 took it apart in pieces and mailed it back home.Maybe in happened in the middle 60’s.Time 70’s came along they were
 probably X-raying everything.But not positively sure
"
"Why are there different systems of money transfer like RTGS, NEFT and IMPS?","Hey,
 It's a little and easiest app to find any bank's information required for our E-transactions.
 Check it out, it helps me often.
 [LINKED_TEXT: Bank Info - Reach your bank digitally - Android Apps on Google Play] [URL: https://play.google.com/store/apps/details?id=com.techchops.bankvale]
 Gonna help! Try it.
"
"Why are there different systems of money transfer like RTGS, NEFT and IMPS?","Hi , I think above answers explained it well. But if you are looking for a solutions for bulk Bank Transfer for your business, You can visit [LINKED_TEXT: Cashfree] [URL: https://www.cashfree.com/?utm_source=content-qr&utm_medium=refferal&utm_campaign=organic&utm_content=intro] and try out the smart payout solution.
"
What is issuing authority in a passport? What should I write in it?,"The passport will state the issuing authority. In general, it’s the government that issues the passport, or the department or office nominated by that government.
"
"Do you trust the FBI, given events since the firing of Comey?","Yes because who else would investigate things federally.
 They are your next door, door busting, ass kicking, weed farm popping kind of police you get. Your local police? Theyre busy keeping things civilized while FBI get to go up to your door and do:
 Knock heavily and loudly
 FBI! Open up!
 Basically theyre the real police while your local police does things what the FBI dont have time for.
"
What is the business strategy behind the 'Big Billion Day' done by Flipkart?,"Now sure about Flipkart's business strategy. But Amazon India nailed it! [LINKED_TEXT: http://www.bigbillionday.com] [URL: http://www.bigbillionday.com/].
"
What does duck meat taste like and do people usually enjoy it?,"Oily and gamey
"
Do soldiers pick up fallen enemy weapons to use if they are out of ammo on their weapons?,"Only out of desperation. If you do that, use a weapon taken from an enemy that was just killed or captured. There is less chance of booby-traps. Best to stick with what you trained with, you are familiar with how it shoots and how to strip, clean, and re-assemble it. Some weapons have characteristic sound, and you could be mistaken for the enemy.
"
What TV series are worth watching?,"HBO’s Chernobyl.
"
"Other than cheating, what's the biggest betrayal in a relationship?","Dishonesty. I’d say that’s the one thing that could destroy a relationship from the inside out other than cheating. That and a lack of respect and consideration.
"
How do I view saved videos from Facebook?,"Log in into FB using your credentials.In the left side of your homepage under the option APPS there will be an option called SAVED.Click on it and go to VIDEOS tab.
You can see your saved videos over there.
 Thanks.
"
What are some items you can't return at Walmart because of Covid 19?,"I don’t know as I have not shopped there in over 20 yrs. I prefer to shop at local mom and pop stores where my money stays in the community and they pay a living wage to their employees and their mech is made in the USA and not swear shops in China by kids.
"
What happens when you get pulled over doing 100 mph?,"In Greece I paid 175 euros and my license taken for 2 months…
 Radar detected about 140mph…😆
"
"What are the best GRE coaching centres in Delhi, especially for maths?","If you're willing to try video lessons, here's a free GRE video course that covers everything you need to know - [LINKED_TEXT: Free GRE video course] [URL: http://www.greenlighttestprep.com/]
 Cheers,Brent
"
What program do photographers use to edit photos?,"Adobe Photoshop. Adobe Photoshop has always been synonymous with image editing software. Even after transitioning to a subscription model, the well-known software remains the go-to option for digital artists, illustrators, and photographers.
 Don’t Forget To Upvote
"
Which rock band has had the most messed up/dysfunctional history?,"I dunno, but there sure are plenty of candidates.
"
How do you know that you have found a true friend?,"If you don't know then you probably don't have any friends :)
"
Should I eat McDonald's or Burger King?,"Ether one is far game but it’s most likely what you prefer on one hand you can enjoy something from Burger King especially the one they call Americas favorite burger the whopper or some other things they have there on the menu at Burger King but if you prefer McDonald’s instead go for it specially if you like a big Mac their most famous burger yet to all beef patties special sauce lettuce cheese pickles onions on a sesame seed bun
 Either way is fair game
"
Why don't car companies just keep making old popular cars?,"If you notice the body styles of the Mustang, Challenger and Camaro and even some parts of the Charger are all kind of similar to the late 60’s early 70’s models. They brought back some of the aesthetics but with new technology. It gets very obvious with the Challenger when you compare an early 70s model to a new model.
"
"What are the best restaurants to try when visiting Bengaluru, Karnataka, India? What should you try while you're there?","Rastha
"
How can I solve a puzzle which is currently too hard for me to solve?,"Ask your friend to solve
"
"If an atheist doesn't believe in God, do they also not believe in Satan?","I'm an Atheist. I don't believe in god nor the devil. It makes my life much simpler and provides a sense of freedom. No religious guilt trips.
"
How can I become a genius like Einstein?,"If you have to ask the question, it means you will never become Einstein. Be happy with whatever level you have reached and try to stay there.
"
Did a landlord ever offer to lower your rent so that you wouldn't leave?,"No but offered free rent to move in instead of half.
"
Can Saitama beat anyone from Dragon Ball?,"He would get erased by either the Angels or Zeno.
"
"Before legalization, what did people think zig zags were used for?","We use Rizlas in the UK.
"
Who is the best email campaign management vendor out there?,"When you're working in thallu. com on your publishing calendar, leave plenty of time for the editing and revision process. Once you send a campaign, it goes straight to the inbox, and you can't go back and update it. Newsletters contain meaningful content, and sloppy ones reflect poorly on the companies who send them. Grammar and style are just as important for email as they are for websites and blogs.
"
"What are the best restaurants to try when visiting Bengaluru, Karnataka, India? What should you try while you're there?","MTR is good veg hotel.
"
What is the slickest way a person has gotten out of a traffic ticket?,"Telling the truth is very refreshing to a office. They get lied to all the time and they know a lie when they hear one. I have gotten out of 3 tickets just by telling the truth.
"
"Why is Mammootty a megastar, but not Mohanlal?","that tag was not given by some GOVERNMENT for approprpriation……in the 80s mamootty did stage show in dubai…the name MEGASTAR was used for MICHALE CJACKSON and they copied it for the show,,….same time CHIRANJEEVI also has taken taht tag….
"
How can I get a call history of any number?,"9099384911
"
What is the best one liner you have written?,"Twas the year 1981.
 “What about Afganistan?”
 Which we printed out on a long roll of computer paper (for those under 40, google is your friend), and hung at the back of the hall.
 Where our guest speaker from CND would have to look at right through their speech.
"
"As a Buddhist, how can I increase my level of compassion without being taken advantage of?","Use the Nichiren mantra to make your mind-emotions smarter at detecting foul motives.Its use clarifies cause-effect relationships.
"
How many cubic feet are in a dump truck?,"[LINKED_TEXT: A dump truck] [URL: http://www.dumptrucks.com/] can be as little as 135 cubic feet to 405 cubic feet. Off-road dumps are often rated in tons and ca[LINKED_TEXT: n get as high] [URL: http://oysterr.in/] as 360 tons. That's a lot of cubic feet.
"
What is your favorite guitar joke?,"Does a cartoon count? (Hat tip to Mr. Jim Chambers of Tampa, FL):
"
"When Brazil released the R$10 polymer banknotes in 2000, they were a huge failure because they tore apart very easily. How did later release of polymer banknotes in Canada and Australia manage to make it more durable that paper?","As a Canadian I love our polymer bills and I'm really crazy about our $1 and $2 coins.
"
Can I let my pet rat go into the wild?,"As far as your intelligent pet rat putting the rat into the wild who has hopefully never been in prison in a cage, rats are smart and the rat may do well, if you slowly put food out daily for the rat to find and far away from human rats noise and traffic.
"
"Movies, Bowling, Axe Throwing & More | Cinergy Entertainment","This is an excellent question. The reality is that we collectively are the state. We do the voting. We get what we vote for. American history does reveal a paranoid streak which waxes and wanes. At the present time we are waxing paranoid like again. If we keep heading he road we are walking we will push more and more to the right - We had better heed Jefferson's warning about democracy: ""Eternal vigilance.""
"
Has there been an increase in UFO activity since the Voyager satellite left our solar system?,"It doesn’t seem so.
 Do you have data that says that?
"
Where can I find packers and movers in Noida?,"White Glove Packers and Movers are the best packing and moving company in Noida India. I used White Glove Packers and Movers service to relocate my household goods from Noida to Bangalore, it was a great experience.
 I would like to appreciate sincere efforts of staff that was constantly in touch with me during the entire relocation process. Must try if you want to be happy while moving.
 Thanks White Glove packers and movers.
"
Why are HDMI cords so expensive?,"Since I paid €2,95 for the last one I’d say you’re either shopping in the wrong places or this is just a very lame attempt at trolling.
"
How much will liposuction cost in India?,"[LINKED_TEXT: Liposuction cost in India] [URL: https://www.vaidam.com/search/liposuction/india#%3A~%3Atext%3DLiposuction%20cost%20in%20India%20for%2C130240.] ranges between USD 1980 to USD 2420. In INR, the liposuction cost may vary between INR 97680 to INR 130240.
 The liposuction cost in India may vary depending on the,
City the hospital is located atThe pre and postoperative careThe surgeon and their expertiseThe type of surgeryThe insurance policy
"
What is the best love story people can come up with in two sentences?,"“I don’t have to say anything do I?”
 “Not if you don’t have to.” They smiled in bed together.
"
How much will liposuction cost in India?,"Liposuction is one of the most commonly done procedures, at Plastic Surgery centre’s now. The cost can vary, depending on the area, and the BMI/ weight of the person.
 At Panache Aesthetics, Delhi, the price starts from around 20K for chin, and can go upto 75–90K for 360 degree Liposuction, covering both abdomen and back.
 For more details, please visit our [LINKED_TEXT: website] [URL: https://panacheaesthetics.com/liposuction/].
"
Which is the best car brand in the world?,[LINKED_TEXT: kamina panHere you will get information about gaming and Gamers and their live stream Times we will also give you information about bikeshttps://kaminapan12.blogspot.com] [URL: https://kaminapan12.blogspot.com/]
How can I download magazines for free on the Internet?,"Here are 10 websites where you can find free books:
Project GutenbergLibrivoxOpen LibraryManyBooksBookBoonSmashwordsFeedbooksInternet ArchiveGoogle Books
"
Why are there whiteboard interviews in tech?,"To show a concept I think the best way is to draw a representation of it, it’s gonna be easier on the other people to understand it. It’s nor for coding or sth like that, it’s just to draw representations of algorithms, or ideas.
 Make sure to follow my space: Laus Deo's Space ([LINKED_TEXT: IT News (exclusive news)] [URL: https://lausdeospace.quora.com/])
 Peace ;)
"
"What do you think, is Robert Mueller lying or telling the truth?","It’s not the “full truth” bc Trump and a lot of his people lied, destroyed evidence, etc. So Mueller had impediments to his ability to gather information.
 I thought it was telling that none of the GOP committee members challenged the veracity of Mueller’s findings. They tried to attack his credibility, his integrity, etc but never even suggested that his findings were inaccurate.
"
How much will liposuction cost in India?,"50,000 INR /1000 US dollars
 Well guys i bet you no where in the india / world will be dead cheap for liposuction for abominal area /love handles / inner thighs for three body parts it is 50k ,Yes you heard right for all three body parts only for 50k …. doctor praveen s in Hyderabad ,plastic surgeon, Harsha hospitals kompally.
"
How can you stop a car if someone cuts the brakes?,"Use parking brake
"
"Can King Charles III give knighthood to anybody that he wants, or must they be British citizens and pre-approved?","It has never been mandatory to be British to be knighted.
"
Do all UK people say they speak “English” and not “British English”?,"It’s shorter and nobody has any reason to ask “Do you mean British English or American English?” If you speak one, you can be understood perfectly well by someone who speaks the other.
 I’m happy to be corrected, but I don’t think Americans say that they speak “American English” as a matter of course either.
"
Do you prefer using urinals or private toilets?,"Private stalls when the urinals are too close or don’t have a divider.
"
What are some basic terms and conditions for an NGO program?,"NGO’s are typically not for profit, they tend to focus on specific issues or problems. To determine specific terms and conditions you should really contact an attorney. Each country has different laws on tax reporting and that is a very big deal.
"
How much does centrifugal force generated by the earth's rotation affect an object's weight?,"Depends on where you are… at the poles, there’s no effect at all. As you move toward the equator, the effect gets bigger - but Earth only turns once in 24 hours, so the effect is a slight reduction in weight.
"
How make money with affiliate marketing?,"100% DONE-FOR-YOU ""AI"" Traffic Commission System - Get Great Results Promoting Affiliate Offers From ANY Affiliate Network Including WarriorPlus, Clickbank, Digistore24. Everything You NEED Is Included!
 [LINKED_TEXT: CLICK HERE TO GET ACCESS FOR FREE] [URL: https://sites.google.com/view/60-seconds-ai-money-machine/home]
"
How did algorithms predicting Hillary Clinton’s landslide victory in the 2016 Presidential Election get their prediction so wrong?,"Garbage in garbage out.
"
How do I create my own mailing address?,"Want to create own mailing address - Go ahead and follow the steps by visiting here - [LINKED_TEXT: How to Create Your Own Personalized Domain Email Address] [URL: http://www.online-tech-tips.com/computer-tips/how-to-create-your-own-personalized-domain-email-address-for-free/]
"
The Mahabharata,"I think Arjun, was the greatest warrior
"
Was Arnab Goswami more deserving than Ravish Kumar for the Ramon Magsaysay Award in 2019? Why or why not?,"If Magasaysay Award starts a category for the best drama show marketed as News - Arnab Goswami would be more eligible that Ravish Kumar.
 But he would still have some tight competition from Amish Devgan, Sudhir Chaudhary, Navika Kumar, Rajat Sharma, R Shivshanker, Rahul Kanwal, Anjana Om Modi, Prasoon Joshi and Rubika Liyaqat.
"
Can you do a singing reveal?,"Please ignore the sketchy high parts, i know they’re bad but i was only home alone for 10 minutessssss
 [LINKED_TEXT: Rec-2019-03-20-From-21-22-38-To-21-27-12.wav] [URL: https://drive.google.com/file/d/1LYPR6G8nnB39l7Bz6jIJp5GMjCBLGqw-/view?usp=drivesdk]
"
How do you know dinosaurs actually existed just other than fossils?,"In the case of dinosaurs we have their skeletons, but we also have other evidence that can give insight into their daily lives, including preserved gut contents, eggs, nests, footprints, skin impressions and even dinosaur poo. Comparisons with living animals are also key.
"
Is the Indian economy in a real crisis?,"Throw out Congress.
"
Why don't elite soldiers and Navy SEALs have physiques like Dwayne Johnson or Vin Diesel?,"Because it means they have more weight to carry and can’t get through small windows. Elite soldiers tend to need great endurance, especially if they have long marches etc. Bulk doesn’t guarantee that.
"
Do vocal exercises really help your singing become better?,"Of course, if you are doing the right exercises for whatever you need to improve and train, and of course if you are doing them properly
"
What is the future tense of teach?,"Will teach
"
What program do photographers use to edit photos?,"Adobe Photoshop offers tools that you won't find in other photo editing software. I have spent 7 years using this software in my photo studio and its functionality is immense so I consider this software to be the best.
 [LINKED_TEXT: Contact to know more] [URL: https://www.fiverr.com/s/wZkQ9A]
"
How can I download magazines for free on the Internet?,"You can find dozens of free eBooks online. But the download of the book should be allowed under the relevant copyright laws in your country. In the US, the Sonny Bono Copyright Term Extension Act of 1998 allows books published between 1923 and 1977 to enter the public domain.
"
Do all entrepreneurs need an outside investor?,"No. I built my software company into an INC 500 business without outside investment.
"
What are some less known facts about Mars?,"They have a 24 hour day (almost)
"
What are some unique startup ideas for India?,"To know more about Startup Ideas, pleas do refer article [LINKED_TEXT: Startup Ideas ~ Mr Dhari] [URL: https://murtuzadhariwala.blogspot.com/2020/06/Startup%20Ideas.html]
"
"Why is the Molecule Man considered so powerful, given that there are lots of matter manipulators in the Marvel universe?","He defeated Pre-retcon Beyonder, nuff said.
"
How do Java lambdas with calls to functional interfaces work internally?,"The are compiled to an anonymous class that implements the interface and is instantiated and later executed when the lamdba is evaluated. This is basically the same code that you would have written in Java 7 when lambdas were not available.
"
"Am I paragender or demi-gender? I have been frequently feeling like gender fluid is not the right term for me. I'm either male, female or non binary, it usually is between male and non binary. Sometimes female, but not as often.","Mate, get a hobby that isn’t about you. Try volunteering; by helping others all your crap nonexistent problems will be put into perspective.
"
"If Parshuram is the incarnation of Vishnu, then why didn't Parshuram recognize Ram during the breaking of the Shiva bow event?","There are a few different interpretations of this question.
 One interpretation is that Parshuram was not actually present at the time of the breaking of the Shiva bow event.
 Another interpretation is that Parshuram did recognize Ram, but didn't say anything because he knew Ram was supposed to be the next king.
"
Why do some dogs’ breath smell so bad?,"They don’t have access to dental care…
 if you were looking for something more, you won’t find it… dogs that chew tend to have better breath than dogs that don’t.
"
What is hallucigenia in Attack on Titan?,"It's what made Ymir the first titan.
"
Where do hybrid cars save the most fuel?,"City driving
"
What is the scope for automation testing in Germany? How easy/difficult is it to find a QA job with a job-seeker visa?,"There is a good scope; but depend on one’s profile and experiences.
"
Which is the best car in India under Rs 5 lakh in 2020?,"Top Cars Under 10 Lakhs in 2023
 Model Price
 Maruti BrezzaRs. 7.98 Lakh
 Tata NexonRs. 7.69 Lakh
 Maruti Suzuki SwiftRs. 5.92 Lakh
 Tata PunchRs. 5.99 Lakh and many more.
"
Why is #ISRO trending on Twitter?,"Try to shut down your social media, exit WhatsApp groups that talk gossip, don’t tune to news channels . Try doing this for a week and see if your happiness levels increase or not.
 We are in constant zone of:
comparison with what others are doingfear about what’s happening in worldFOMO of what’s happening out there
that’s what’s make us unhappy.
"
How do I earn with a CPA lead?,"I personally use [LINKED_TEXT: Get real website visitors!] [URL: http://simpletraffic.co/] To get visitors to my offer fast.
"
Will Akhilesh Yadav be able to form his government this time in the Uttar Pradesh 2022 elections?,"Wait for the results,which will be declared on 10th March.
"
How much does centrifugal force generated by the earth's rotation affect an object's weight?,"Earth's centripetal force is gravity so yes it does affect weight.
"
"In their prime, who was a better rock group, The Stones or The Who?","The Kinks!
"
Does Putin care for the people of Russia?,"Why would he?
"
"If you and your wife were laying in bed and you both hear a noise downstairs at 3 AM, do you believe that it is your duty as a man to investigate the noise and put yourself at potential risk to protect you and your wife? Why or why not?","Yes. That’s how I was raised. Others can do it their way.
"
If I proved that,"Simple. That much water does not exist, and never has
"
What are the characteristics of a genuine person?,"Honesty
"
Is it true that Lord Shiva is not mentioned in the Vedas?,"Shiva in Vedas:
 Answer to Shiva is not a Vedic god. Why do Brahmins worship Shiva? by Aakash Garhwal [LINKED_TEXT: Aakash Garhwal's answer to Shiva is not a Vedic god. Why do Brahmins worship Shiva?] [URL: https://www.quora.com/Shiva-is-not-a-Vedic-god-Why-do-Brahmins-worship-Shiva/answer/Aakash-Garhwal-3]
"
To what extent can we change human nature?,"You can only teach a human fear. What he does with it is not in your control.
"
How do I view saved videos from Facebook?,"If you come across a video that you want to save/see later, then you add it to your Saved Post collections. That way, you can access and view it later on. Another thing you could do is download the video directly onto your phone/computer by using a [LINKED_TEXT: facebook video downloader online tool] [URL: https://fastvid.com/].
"
Should we use “audience was/were” clapping?,"The word “audience” can be used both as countable and uncountable.
 Suppose when we say “ The audience are requested to take their seats”
 Here requested them one by one. So here audience is used as coutable noun. As a result here we use “are”
 But When we say “ The cinema hall is already being filled with audience “ . Here the audience is used as an uncountable noun. That’s why we use singular verb.
"
Are there any 9mm revolvers that have a capacity of 10 or more rounds?,"Not that I am aware of.
 10 rounds of 9mm in a cylinder strong enough to hold them would be pretty big around. The mechanics of a frame that held it and rotated the cylinder get tough. This in addition to the ergonomic considerations - getting your hand & sight line in the right place.
 I can imagine that design, but I don’t think it would sell well.
"
"What do I do when a USPS package says “Attempted Delivery- item being held, addressee being notified” but no slip has been left?","You'd better contact the local USPS to verify the package delivery status and pick up the parcel in time to avoid shipping return.
"
What is the Ship of Theseus paradox?,"For an object it is an arbitrary definitional issue.For a person, their identity is probably due to their history and self narrative, which remain unchanged as the physical ""parts"" are replaced.See: https://en.wikiversity.org/wiki/True_Selfand https://en.wikipedia.org/wiki/Ship_of_Theseus
"
"If evolution were true (it clearly is not), what would observable evidence look like?","The premise of your question is mistaken. Of course evolution is true.
 What is observable evidence? It is anything which is objectively accessible to more than one observer or investigator, which can be used to support, confirm, undermine, or disconfirm a properly formed hypothesis.
"
"If there are big cats, why are there no big dogs?","What about a wolves.
"
What is ताजमहल किस नदी के किनारे स्थित हैं?,"Yamuna
"
"Which angel is more popular, the Angel Michael, or the Angel Gabriel?","As an atheist, I do not believe in angels, but in the UK, St Michael is very popular, I and many hundreds of women have been wearing his knickers for years and bras, nor would we miss the men out, who have been faithful to St Michael underwear as well. Children, babies, everyone on the family can feel safe in the knowledge that St Michael keeps us fresh whatever the weather.
"
How can you stop a car if someone cuts the brakes?,"Modern cars have dual circuit brake if the brake lines to the front were to cut you still would have brakes on the rear at a very reduced efficient operation the same if the rear lines were cut. But if you were to have no brakes at all application of park brake would be your only option as they operate using a wire rope .application of te park brake can also have dangers in some situations last resort stuff.
"
"Why does my cat smell so good, despite me never giving him a bath in his entire life?","It is a total mystery to me but I do have a theory. Most people think cats are very clean because they clean themselves all the time. But they are not really clean because they are actually covered with cat spit.
 I suspect that cat spit must smell pretty nice.
"
How can I see followers who watched my day on Messenger?,"If read it chat head will be there .. check mark will be there if not read
"
Why would anyone need a gun with more than 10 rounds for concealed carry?,"While the majority of the 500,000+ defensive gun uses last year did not require more than ten rounds to stop the threat and save lives, more than 1 defensive use did. Had those gun owners been as narrowminded and uneducated as you, many more people would have died as they ran out of ammo before subduing the criminal.
"
How can you stop a car if someone cuts the brakes?,"Downshift the transmission to use the engine to slow car. The Emergency Brake is seperate from the regular brakes.USE IT!!! But not til you've slowed. It usually locks the rear wheels and they can't turn at all. It's an EMERGENCY, do your best!!!
"
"If an atheist doesn't believe in God, do they also not believe in Satan?","By jove, you got it.
"
What are the steps in writing a dissertation?,"you can improve by executing your efforts on the right path and what is the right path for that you need to do research and continuous discussion for any guidance and discussion related to dissertation writing you can contact to Papers Planet for absolutely free
"
Would you rather make out with a vampire or make out with a mermaid?,"A Mermaid. Because, I don’t like getting bit & seeing blood come gushing out of me.
"
Is it true that Lord Shiva is not mentioned in the Vedas?,"he is mentioned
"
What are the pros/cons of using alcohol vs. marijuana?,"You drink and drive you may wreck and kill someone. Smoke pot and drive you won't hurt anyone. You're only driving 5 miles per hour.
 Give a bunch of 22 year olds alcohol and they will get drunk and fight. Give them pot and they will start a rock band.
"
"I plan to represent myself in court and consider myself extremely versatile so I should be able to win it. However, if you could give me one piece of advice, what would it be?","The attorney who presents himself in court has a fool for a client.
"
Could you recommend a math book that contains a lot of problems? Level doesn't matter.,"[LINKED_TEXT: Real Mathematical Analysis] [URL: https://www.amazon.com/Mathematical-Analysis-Undergraduate-Texts-Mathematics/dp/144192941X] by Charles Chapman Pugh is a good book with over 500 exercises. Here is a tiny snippet from it.
"
English is an almost grammar-less language. — Richard Grant White. What do you make of this statement?,"It’s wrong or at best poorly informed. All languages have grammar.
"
Does 'nick' mean 'idiot' in British English?,"Slang varies throughout Britain, but as far as I’m concerned (as a Southerner who’s lived in Wiltshire, Bristol and London) ‘nick’ is slang for ‘to steal’.
"
How is San Jose State University for computer science bachelor's?,"SJSU is tops in computer science of any university in California and probably in the West.
"
What is the best way to invest in gold through SIP?,"Gold Mutual Fund SIP. You can check if someone offers Gold ETF SIP.
 Ex.Kotak, SBI Gold Fund etc.
"
How important is it to have a pot filler in your kitchen?,"It depends on how important it is to you, if you're installing a $10,000 professional range go for it.
"
What do you see when you look at the GOP?,"I see the effect of money on politics.
"
Why are garages such a priority in houses in the UK given that hardly anyone actually uses them to store their car in?,"A lot of houses that have garages were built in the 50s, 60s and 70s and modern cars don't fit unless you have a double garage like my parents who put their car in it plus a pool table. Plus car insurance is more expensive if you say your car is garaged unlike back in the day when it use to be cheaper.
"
"Every year, the top 5 mutual funds changes. How can we select in a particular fund for a longer period of 15+ years?","Not to bother my friend. If you are invested in top 2 or 3 funds, it is ore than done over 15 years. If you see there will be hardly any difference in overall performance of top 3 over 15 years.
 Rather than selecting the best fund, staying invested, consistently will be far more challenging, I guess!
 Stay Invested!
 Happy Investing!
"
How do I view saved videos from Facebook?,"To view the things you've saved:
 Go to [LINKED_TEXT: Log into Facebook | Facebook] [URL: http://facebook.com/saved] or click Saved on the left side of News Feed.
 Click a saved category at the top or click a saved item to view it
 Only you can see the items you've saved.
 Fore more Tips regarding Facebook, visit this website [LINKED_TEXT: Buy Facebook Views Reviews – Find the Best and Avoid the Scams] [URL: https://viewsreviews.org/facebook-views/]
"
